run_id,	timestamp,random_state,n_splits,groups_key,prevalence_positive,idf_ngram_range,tfidf_max_features,tfidf_min_df,tfidf_max_df,vocab_strategy,top_k,coverage,numeric_scaler,class_weight,model,params_json,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_f1,cv_std_f1,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_roc_auc,cv_std_roc_auc,train_time_sec,inference_time_ms_per_1k,notes,wall_clock_sec,cv_mean_accuracy,cv_std_accuracy,cv_mean_bal_accuracy,cv_std_bal_accuracy,cv_mean_mcc,cv_std_mcc
1759853727_0_LR_10,2025-10-07 23:15:28,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 2.0, ""max_iter"": 500, ""solver"": ""saga""}",0.5936285739044865,0.02740594317990132,0.5252755111028682,0.016887857694754597,0.6798480147520566,0.037136443272516285,0.4284688472751486,0.012711842289212533,0.7790736550154734,0.011640988017445382,0.691894245147705,40.72456359863281,,0.7635622024536133,0.7144941774360622,0.009721915636493989,0.702232900273711,0.010799395697174545,0.35442927129089985,0.01668354063953577
1759853728_0_LR_11,2025-10-07 23:15:29,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 2.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5936341094341121,0.027408884834657816,0.5252755111028682,0.016887857694754597,0.6798480147520566,0.037136443272516285,0.4284688472751486,0.012711842289212533,0.7790798091431912,0.011646527759963667,1.1297568321228026,44.130849838256836,,1.3005352020263672,0.7144941774360622,0.009721915636493989,0.702232900273711,0.010799395697174545,0.35442927129089985,0.01668354063953577
1759853729_0_LR_12,2025-10-07 23:15:30,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 5.0, ""max_iter"": 500, ""solver"": ""saga""}",0.594582085497474,0.027280750037320355,0.5249560619235499,0.01669834021292157,0.68031627783226,0.03710146623199628,0.42785950141760215,0.01246715842401379,0.7792461498147645,0.011773054911533765,0.7320068836212158,38.79551887512207,,0.8125877380371094,0.7139101410652755,0.010293176102889177,0.7020199362250585,0.011144268910431477,0.35389450941059863,0.017174529622560497
1759853730_0_LR_13,2025-10-07 23:15:31,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l2"", ""C"": 5.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5945977917789917,0.0273224156007445,0.5250422721876902,0.016699563067259976,0.68031627783226,0.03710146623199628,0.4279734311016252,0.01245833698727614,0.7792692304979122,0.011805591725987408,1.3276748180389404,41.33620262145996,,1.4087929725646973,0.7140075120487224,0.01033467381290851,0.7020830277077084,0.011164692977952062,0.3540248940334369,0.017210146796126622
1759853731_0_LR_14,2025-10-07 23:15:32,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.05, ""max_iter"": 500, ""solver"": ""saga""}",0.543561925915998,0.029663768073878022,0.5110343629891277,0.017084579658094744,0.6453598425128433,0.047814962829773155,0.42409491001740685,0.010433089577568931,0.7598811795813517,0.011391470650959508,0.7786723136901855,36.425113677978516,,0.9273297786712646,0.7132293970195815,0.014491824151738202,0.6893171683243895,0.012170768908525182,0.33509991087623514,0.016812731433424228
1759853732_0_LR_15,2025-10-07 23:15:33,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.05, ""max_iter"": 1000, ""solver"": ""saga""}",0.543561925915998,0.029663768073878022,0.5110343629891277,0.017084579658094744,0.6453598425128433,0.047814962829773155,0.42409491001740685,0.010433089577568931,0.7598811795813517,0.011391470650959508,0.7792877674102783,34.80629920959473,,0.9072120189666748,0.7132293970195815,0.014491824151738202,0.6893171683243895,0.012170768908525182,0.33509991087623514,0.016812731433424228
1759853733_0_LR_16,2025-10-07 23:15:34,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}",0.5548496852009321,0.029635245284206767,0.5130488149602421,0.014877493233281034,0.6596066288560352,0.04148693548820019,0.42042425764018143,0.007557550157660695,0.7618621574319185,0.010988807877875865,0.9942869663238525,36.687564849853516,,1.1213860511779785,0.7091415681288666,0.011640031336874938,0.6917076449570444,0.012429929141969248,0.336776427748127,0.01755190233011067
1759853734_0_LR_17,2025-10-07 23:15:35,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}",0.55537308592875,0.029587207535002946,0.5118336497066592,0.015189039637627882,0.6595763064813146,0.04099486236771513,0.4187494662191912,0.007553939269813278,0.7620441300818236,0.010801356461487466,1.109151840209961,36.38715744018555,,1.4428081512451172,0.7077789900101245,0.010165060663169993,0.6908116016653449,0.012020378778002081,0.33489022221231435,0.016817609422497493
1759853735_0_LR_18,2025-10-07 23:15:37,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.2, ""max_iter"": 500, ""solver"": ""saga""}",0.5673338364676835,0.029086848448498567,0.5226599902216711,0.013676674908083412,0.6750842400286375,0.0405063549547113,0.42709384261170247,0.008909896289938827,0.7704894933520565,0.010472988959663785,1.4155726909637452,38.2443904876709,,1.5361289978027344,0.7135220306240302,0.011098476579343155,0.6999667375363289,0.011044377425965006,0.3507693323818729,0.015017119569310108
1759853737_0_LR_19,2025-10-07 23:15:40,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.2, ""max_iter"": 1000, ""solver"": ""saga""}",0.5676700512158523,0.028868292564931057,0.5213272089162588,0.015172129450824162,0.6750682669623531,0.04060999926764292,0.425255334785577,0.00975899841715233,0.7705332555039466,0.010374024423714073,2.383931350708008,36.80081367492676,,2.850823163986206,0.7120614658723262,0.009564134083607536,0.6990181330107059,0.011546416868445179,0.34873950389347474,0.01620520703949495
1759853740_0_LR_20,2025-10-07 23:15:42,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.5, ""max_iter"": 500, ""solver"": ""saga""}",0.5856261925385632,0.0287211039206898,0.5294382714232866,0.015239485135713944,0.6846380698063642,0.03282018778461488,0.43203574392974675,0.012599803749712193,0.7780576730947393,0.011348454173307746,1.643747663497925,36.6574764251709,,1.784369945526123,0.7171233359521829,0.010134867568830808,0.7056491879135286,0.009948885940449285,0.360447480384688,0.015446487927910448
